ASSESSID,LME_NAME,NUM_TOTAL,NUM_SSB,SCIENTIFICNAME,LME_NUMBER,LME_COUNT,collapse_admb,TS_LENGTH,YEAR_START,YEAR_COLLAPSE
NZMFishSHELLFISHWG-PAUAPAU5D-1964-2006-JENSEN,New Zealand Shelf,43,43,Haliotis iris,46,1,0,43,1946,1988
NZMFishSHELLFISHWG-PAUAPAU5B-1963-2007-JENSEN,New Zealand Shelf,45,45,Haliotis iris,46,1,0,45,1952,1996
NZMFishSHELLFISHWG-PAUAPAU7-1964-2008-JENSEN,New Zealand Shelf,45,45,Haliotis iris,46,1,0,45,1959,2003
NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN,New Zealand Shelf,55,55,Rexea solandri,46,1,1,55,1953,2007
NZMFishLOBSTERWG-RROCKLOBSTERCRA1-1945-2001-JENSEN,New Zealand Shelf,57,0,Jasus edwardsii,46,1,0,57,1948,2004
NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2001-JENSEN,New Zealand Shelf,57,0,Jasus edwardsii,46,1,1,57,1947,2003
NZMFishLOBSTERWG-RROCKLOBSTERCRA5-1945-2002-JENSEN,New Zealand Shelf,58,0,Jasus edwardsii,46,1,1,58,1945,2002
NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2005-JENSEN,New Zealand Shelf,61,0,Jasus edwardsii,46,1,0,61,1949,2009
NZMFishINSHOREWG-TREVALLYTRE7-1944-2005-JENSEN,New Zealand Shelf,62,62,Pseudocaranx dentex,46,1,0,62,1947,2008
NZMFishLOBSTERWG-RROCKLOBSTERCRA3-1945-2007-JENSEN,New Zealand Shelf,63,0,Jasus edwardsii,46,1,1,63,1945,2007
WGBFAS-HERRIsum-1983-2007-JENNINGS,Iceland Shelf,22,22,Clupea harengus,59,1,0,22,1971,1992
NWWG-CAPEICE-1977-2007-MINTO,Iceland Shelf,29,29,Mallotus villosus,59,1,0,29,1969,1997
NWWG-HADICE-1977-2007-MINTO,Iceland Shelf,29,29,Melanogrammus aeglefinus,59,1,0,29,1946,1974
NWWG-CODICE-1952-2006-MINTO,Iceland Shelf,52,52,Gadus morhua,59,1,0,52,1954,2005
NWWG-CODFAPL-1959-2006-MINTO,Faroe Plateau,46,46,Gadus morhua,60,1,0,46,1951,1996
NWWG-POLLFAPL-1958-2006-MINTO,Faroe Plateau,46,46,Pollachius virens,60,1,0,46,1958,2003
NWWG-HADFAPL-1955-2006-MINTO,Faroe Plateau,50,50,Melanogrammus aeglefinus,60,1,0,50,1955,2004
