ASSESSID,LME_NAME,NUM_TOTAL,NUM_SSB,SCIENTIFICNAME,LME_NUMBER,LME_COUNT,collapse_admb,TS_LENGTH,YEAR_START,YEAR_COLLAPSE,YEAR_END
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,New Zealand Shelf,35,35,Allocyttus niger,46,1,0,35,1952,1973,1987
NZMFishHOKIWG-HOKIENZ-1972-2007-FRANCIS,New Zealand Shelf,36,36,Macruronus novaezelandiae,46,1,0,36,1945,1960,1981
NZMFishHOKIWG-HOKIWNZ-1972-2007-FRANCIS,New Zealand Shelf,36,36,Macruronus novaezelandiae,46,1,0,36,1968,1968,2004
NZMFishMIDDEPTHSWG-NZLINGLIN3-4-1972-2007-JENSEN,New Zealand Shelf,36,36,Genypterus blacodes,46,1,0,36,1947,1973,1983
NZMFishMIDDEPTHSWG-NZLINGLIN5-6-1972-2007-JENSEN,New Zealand Shelf,36,36,Genypterus blacodes,46,1,0,36,1968,1971,2004
NZMFishMIDDEPTHSWG-NZLINGLIN72-1972-2007-JENSEN,New Zealand Shelf,36,36,Genypterus blacodes,46,1,0,36,1967,1980,2003
NZMFishMIDDEPTHSWG-NZLINGLIN7WC-1972-2008-JENSEN,New Zealand Shelf,37,37,Genypterus blacodes,46,1,0,37,1957,1989,1994
NZMFishSHELLFISHWG-PAUAPAU5A-1964-2006-JENSEN,New Zealand Shelf,43,43,Haliotis iris,46,1,0,43,1951,1972,1994
NZMFishSHELLFISHWG-PAUAPAU5D-1964-2006-JENSEN,New Zealand Shelf,43,43,Haliotis iris,46,1,0,43,1946,1969,1989
NZMFishSHELLFISHWG-PAUAPAU5B-1963-2007-JENSEN,New Zealand Shelf,45,45,Haliotis iris,46,1,0,45,1952,1961,1997
NZMFishSHELLFISHWG-PAUAPAU7-1964-2008-JENSEN,New Zealand Shelf,45,45,Haliotis iris,46,1,0,45,1959,1982,2004
NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN,New Zealand Shelf,55,55,Rexea solandri,46,1,1,55,1953,1984,1984
NZMFishLOBSTERWG-RROCKLOBSTERCRA1-1945-2001-JENSEN,New Zealand Shelf,57,0,Jasus edwardsii,46,1,0,57,1948,1986,2005
NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2001-JENSEN,New Zealand Shelf,57,0,Jasus edwardsii,46,1,1,57,1947,1950,1950
NZMFishLOBSTERWG-RROCKLOBSTERCRA5-1945-2002-JENSEN,New Zealand Shelf,58,0,Jasus edwardsii,46,1,1,58,1945,1962,1962
NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2005-JENSEN,New Zealand Shelf,61,0,Jasus edwardsii,46,1,0,61,1949,1972,2010
NZMFishINSHOREWG-TREVALLYTRE7-1944-2005-JENSEN,New Zealand Shelf,62,62,Pseudocaranx dentex,46,1,0,62,1947,1968,2009
NZMFishLOBSTERWG-RROCKLOBSTERCRA3-1945-2007-JENSEN,New Zealand Shelf,63,0,Jasus edwardsii,46,1,1,63,1945,2008,2008
WGBFAS-HERRIsum-1983-2007-JENNINGS,Iceland Shelf,22,22,Clupea harengus,59,1,0,22,1971,1975,1993
NWWG-CAPEICE-1977-2007-MINTO,Iceland Shelf,29,29,Mallotus villosus,59,1,0,29,1969,1991,1998
NWWG-HADICE-1977-2007-MINTO,Iceland Shelf,29,29,Melanogrammus aeglefinus,59,1,0,29,1946,1950,1975
NWWG-CODICE-1952-2006-MINTO,Iceland Shelf,52,52,Gadus morhua,59,1,0,52,1954,1980,2006
NWWG-CODFAPL-1959-2006-MINTO,Faroe Plateau,46,46,Gadus morhua,60,1,0,46,1951,1967,1997
NWWG-POLLFAPL-1958-2006-MINTO,Faroe Plateau,46,46,Pollachius virens,60,1,0,46,1958,1987,2004
NWWG-HADFAPL-1955-2006-MINTO,Faroe Plateau,50,50,Melanogrammus aeglefinus,60,1,0,50,1955,1976,2005
